File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFIHCF99B5/@@download/4DNFIHCF99B5.bed.gz	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFIHCF99B5	0.14	36392a6f627a473baf03f06802a85e87	boundaries	bed	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4698670c-1c0e-4d7c-9906-2b5d98cb4c6f/4DNFIHCF99B5.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIUJ5CJVN/@@download/4DNFIUJ5CJVN.bw	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFIUJ5CJVN	7.17	66c3c8c6e8351aaff6eeab4767a72b66	insulation score-diamond	bw	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dfe47343-08e7-48aa-ac1e-7cfbef055ded/4DNFIUJ5CJVN.bw
https://data.4dnucleome.org/files-processed/4DNFILVWOR9Y/@@download/4DNFILVWOR9Y.bw	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFILVWOR9Y	0.18	9f60fc54a9a27347f83e9432adb45192	compartments	bw	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/33699445-621b-40d3-8289-3e1bec0e5e71/4DNFILVWOR9Y.bw
https://data.4dnucleome.org/files-processed/4DNFIW3YHQXS/@@download/4DNFIW3YHQXS.pairs.gz	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFIW3YHQXS	7858.47	9cf53f9fa708928c74954ed9630a664f	contact list-combined	pairs	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8ed69ed6-724b-48b7-8ee2-66b471ff90a5/4DNFIW3YHQXS.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIW3YHQXS/@@download/4DNFIW3YHQXS.pairs.gz.px2	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFIW3YHQXS	17.28	c2258f97aee594111430dc05c59f6317	contact list-combined	pairs_px2	2, 1	1, 1	stem cell derived cell line	mouse	secondary file for	4DNFIW3YHQXS	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8ed69ed6-724b-48b7-8ee2-66b471ff90a5/4DNFIW3YHQXS.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIY3XPKPO/@@download/4DNFIY3XPKPO.hic	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFIY3XPKPO	2550.05	15ac9f7e70ab30e722a23768861caea4	contact matrix	hic	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8c380474-12cd-41f4-b86f-2a29faf12eec/4DNFIY3XPKPO.hic
https://data.4dnucleome.org/files-processed/4DNFI7Z381GX/@@download/4DNFI7Z381GX.mcool	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFI7Z381GX	2780.41	ed87610d724717126422e91f9fdbe012	contact matrix	mcool	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dc61dac6-14ae-46e5-8482-1323d32ee00c/4DNFI7Z381GX.mcool
https://data.4dnucleome.org/files-processed/4DNFI2L8HUDD/@@download/4DNFI2L8HUDD.bed.gz	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFI2L8HUDD	0.13	fa98b6f073ceba4d5fff449660fc74aa	boundaries	bed	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dd60bd8b-83f2-4a56-8add-a97d179afacb/4DNFI2L8HUDD.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI3GU1LR2/@@download/4DNFI3GU1LR2.bw	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFI3GU1LR2	7.23	88eca62b63a780fd212cf293e9eee940	insulation score-diamond	bw	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c039eae8-e790-48bd-82b6-19a50e9a0054/4DNFI3GU1LR2.bw
https://data.4dnucleome.org/files-processed/4DNFI6LAOVB9/@@download/4DNFI6LAOVB9.bw	4DNES1QUXG92	4DNEX4J4Z9WE, 4DNEXRI9JYW6	4DNFI6LAOVB9	0.18	f54eca6c86d484bccb74b1797b330e92	compartments	bw	2, 1	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Kubo N et al. (2021)	in situ Hi-C	merged replicates	MboI	F123-CASTx129 (Tier 2)	Hi-C on CTCF-AID tagged F123-CASTx129	CTCF depleted by auxin treatment (0.5 mM, 96.0h)	processed file	4DN	4DN DCIC, HMS	Bing Ren, UCSD	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dd8298c6-d173-44ab-bda3-026d76baca61/4DNFI6LAOVB9.bw
https://data.4dnucleome.org/files-processed/4DNFI3W7M5AB/@@download/4DNFI3W7M5AB.pairs.gz	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFI3W7M5AB	14223.71	c0eb9872da60a908a0f46479f7243ced	contact list-combined	pairs	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFI3W7M5AB/@@download/4DNFI3W7M5AB.pairs.gz.px2	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFI3W7M5AB	9.03	e4feab66b1564969aad934ca2d11346c	contact list-combined	pairs_px2	1, 2	1, 1	immortalized cell line	mouse	secondary file for	4DNFI3W7M5AB	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFI6XB8HB4/@@download/4DNFI6XB8HB4.hic	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFI6XB8HB4	5069.37	c78164bb7857b50d7a249beabea672e3	contact matrix	hic	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFIKHGZ22V/@@download/4DNFIKHGZ22V.mcool	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFIKHGZ22V	3583.94	1fcad3ef953cfc4693fa23ad323b1f7a	contact matrix	mcool	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFIHLYV5ZY/@@download/4DNFIHLYV5ZY.bed.gz	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFIHLYV5ZY	0.12	3e1a6ca49e8a18c583a424362aec81e9	boundaries	bed	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFI1N65MWL/@@download/4DNFI1N65MWL.bw	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFI1N65MWL	7.25	0cdcd03f55efbcdc9638bc6bf59ebe88	insulation score-diamond	bw	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
https://data.4dnucleome.org/files-processed/4DNFIFPJ7FZO/@@download/4DNFIFPJ7FZO.bw	4DNES1TMKQAN	4DNEXK1LDDDU, 4DNEXUYDF7OO	4DNFIFPJ7FZO	0.18	9022a00056765e7c67ca3241a1633224	compartments	bw	1, 2	1, 1	immortalized cell line	mouse	N/A	N/A	N/A	released	released	Wang W et al. (2022)	in situ Hi-C	merged replicates	Arima - A1, A2	scid.adh	Hi-C on Scid.adh cells	CRISPR modified- Knockout tcf7	processed file	4DN	4DN DCIC, HMS	Golnaz Vahedi, UPENN	N/A	N/A	N/A
