"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
".mcool file of 4DN dataset 4DNFIACWCWO1","in situ Hi-C, 6h auxin treatment and 60 min withdrawal [4DNFIACWCWO1 - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIACWCWO1/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIACWCWO1.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIAXDRHL9","Capture Hi-C, N/A [4DNFIAXDRHL9 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIAXDRHL9/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIAXDRHL9.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIG4QMUS3","in situ Hi-C, 6h auxin treatment and 360 min withdrawal [4DNFIG4QMUS3 - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIG4QMUS3/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIG4QMUS3.mcool","HiCData"
".mcool file of 4DN dataset 4DNFILF7ZB7N","in situ Hi-C, 20 min auxin treatment [4DNFILF7ZB7N - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFILF7ZB7N/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFILF7ZB7N.mcool","HiCData"
".mcool file of 4DN dataset 4DNFINKNVML6","in situ Hi-C, 6h auxin treatment and 40 min withdrawal [4DNFINKNVML6 - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFINKNVML6/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFINKNVML6.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIMQBLBOP","Capture Hi-C, N/A [4DNFIMQBLBOP - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIMQBLBOP/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIMQBLBOP.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIVOD23EZ","Capture Hi-C, N/A [4DNFIVOD23EZ - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIVOD23EZ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIVOD23EZ.mcool","HiCData"
".mcool file of 4DN dataset 4DNFISHW3RCU","Capture Hi-C, N/A [4DNFISHW3RCU - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFISHW3RCU/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFISHW3RCU.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIR9KRVAT","Capture Hi-C, N/A [4DNFIR9KRVAT - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIR9KRVAT/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIR9KRVAT.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI5DOZYAQ","Capture Hi-C, N/A [4DNFI5DOZYAQ - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI5DOZYAQ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI5DOZYAQ.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI919OSV8","in situ Hi-C, in situ Hi-C on GM12878 crosslinking titration - 1% FA, 1 min, 37C [4DNFI919OSV8 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI919OSV8/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI919OSV8.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIBKJ25D4","in situ Hi-C, in situ Hi-C on GM12878 with NcoI and bio-dCTP [4DNFIBKJ25D4 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIBKJ25D4/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIBKJ25D4.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIGQ4UDF8","in situ Hi-C, in situ Hi-C on GM12878 with NcoI and bio-dCTP (lower ligation volume) [4DNFIGQ4UDF8 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIGQ4UDF8/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIGQ4UDF8.mcool","HiCData"
".mcool file of 4DN dataset 4DNFITRVKRPA","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dCTP (Tethered HiC) [4DNFITRVKRPA - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFITRVKRPA/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFITRVKRPA.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI2NUHMIM","in situ Hi-C, 6h auxin treatment and 20 min withdrawal [4DNFI2NUHMIM - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI2NUHMIM/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI2NUHMIM.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIFZ72IFL","in situ Hi-C, 6h auxin treatment and 1440 min withdrawal [4DNFIFZ72IFL - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIFZ72IFL/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIFZ72IFL.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIXJLMDBZ","in situ Hi-C, 60 min auxin treatment [4DNFIXJLMDBZ - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIXJLMDBZ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIXJLMDBZ.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI5IHU27G","in situ Hi-C, Preferred protocol - in situ Hi-C on KBM7 with MboI and bio-dATP [4DNFI5IHU27G - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI5IHU27G/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI5IHU27G.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI4988896","in situ Hi-C, in situ Hi-C on GM12878 crosslinking titration - 1% FA, 1 min, RT [4DNFI4988896 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI4988896/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI4988896.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIIL851T7","in situ Hi-C, in situ Hi-C on GM12878 crosslinking titration - 1% FA, 10 min, RT [4DNFIIL851T7 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIIL851T7/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIIL851T7.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI43WFPJ5","in situ Hi-C, Preferred protocol - in situ Hi-C on 192627 with MboI and bio-dATP [4DNFI43WFPJ5 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI43WFPJ5/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI43WFPJ5.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI7QWAH57","in situ Hi-C, in situ Hi-C on GM12878 with HindIII and bio-dATP [4DNFI7QWAH57 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI7QWAH57/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI7QWAH57.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIGWTMK9Y","in situ Hi-C, in situ Hi-C on CC2517 with MboI and bio-dATP (w/out crosslinking) [4DNFIGWTMK9Y - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIGWTMK9Y/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIGWTMK9Y.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI2A4OBS9","in situ Hi-C, in situ Hi-C on GM12878 crosslinking titration - 1% FA, 10 min, 37C [4DNFI2A4OBS9 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI2A4OBS9/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI2A4OBS9.mcool","HiCData"
".mcool file of 4DN dataset 4DNFICMDXA2S","Capture Hi-C, N/A [4DNFICMDXA2S - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFICMDXA2S/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFICMDXA2S.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIBUSK2WT","in situ Hi-C, 40 min auxin treatment [4DNFIBUSK2WT - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIBUSK2WT/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIBUSK2WT.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIYRMF6YD","Capture Hi-C, N/A [4DNFIYRMF6YD - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIYRMF6YD/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIYRMF6YD.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIRMZ7QTE","in situ Hi-C, Preferred protocol -  in situ Hi-C on CC2517 with MboI and bio-dATP [4DNFIRMZ7QTE - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIRMZ7QTE/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIRMZ7QTE.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI18UHVRO","in situ Hi-C, in situ Hi-C on K562 with MboI and bio-dATP (higher crosslinker concentration) [4DNFI18UHVRO - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI18UHVRO/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI18UHVRO.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIGUIV5KO","in situ Hi-C, Preferred protocol - in situ Hi-C on CC2551 with MboI and bio-dATP [4DNFIGUIV5KO - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIGUIV5KO/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIGUIV5KO.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIIV4M7TF","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dCTP [4DNFIIV4M7TF - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIIV4M7TF/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIIV4M7TF.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIZL8OZE1","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dUTP (Tri-Link) [4DNFIZL8OZE1 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIZL8OZE1/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIZL8OZE1.mcool","HiCData"
".mcool file of 4DN dataset 4DNFILP99QJS","in situ Hi-C, 6h auxin treatment [4DNFILP99QJS - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFILP99QJS/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFILP99QJS.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIZTITSBG","Capture Hi-C, N/A [4DNFIZTITSBG - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIZTITSBG/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIZTITSBG.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIJLJIRKT","in situ Hi-C, Preferred protocol - in situ Hi-C on CH12.LX with MboI and bio-dATP [4DNFIJLJIRKT - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIJLJIRKT/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIJLJIRKT.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIMKO3Q2K","Capture Hi-C, N/A [4DNFIMKO3Q2K - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIMKO3Q2K/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIMKO3Q2K.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI3PNAYBK","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (in agar plugs) [4DNFI3PNAYBK - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI3PNAYBK/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI3PNAYBK.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIRDRROK4","in situ Hi-C, 6h auxin treatment and 1080 min withdrawal [4DNFIRDRROK4 - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIRDRROK4/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIRDRROK4.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI46OLTQE","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (Tethered HiC, high ligation volume) [4DNFI46OLTQE - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI46OLTQE/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI46OLTQE.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIAVRY6RG","in situ Hi-C, cells arrested in G1/S phase, 6h auxin treatment [4DNFIAVRY6RG - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIAVRY6RG/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIAVRY6RG.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIT1JQHNQ","Capture Hi-C, N/A [4DNFIT1JQHNQ - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIT1JQHNQ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIT1JQHNQ.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI1O3LV5R","Capture Hi-C, N/A [4DNFI1O3LV5R - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI1O3LV5R/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI1O3LV5R.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIVYE4XLX","in situ Hi-C, 240 min auxin treatment [4DNFIVYE4XLX - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIVYE4XLX/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIVYE4XLX.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIKXK4FT5","Capture Hi-C, N/A [4DNFIKXK4FT5 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIKXK4FT5/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIKXK4FT5.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIKJDV5UJ","Capture Hi-C, N/A [4DNFIKJDV5UJ - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIKJDV5UJ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIKJDV5UJ.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIBSLD9S9","in situ Hi-C, 6h auxin treatment and 180 min withdrawal [4DNFIBSLD9S9 - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIBSLD9S9/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIBSLD9S9.mcool","HiCData"
".mcool file of 4DN dataset 4DNFINIQYFKT","in situ Hi-C, cells arrested in G1/S phase, no auxin treatment [4DNFINIQYFKT - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFINIQYFKT/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFINIQYFKT.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIW9WZRGA","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (pellet and supernatant protocol) [4DNFIW9WZRGA - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIW9WZRGA/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIW9WZRGA.mcool","HiCData"
".mcool file of 4DN dataset 4DNFITWYZHOV","Capture Hi-C, N/A [4DNFITWYZHOV - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFITWYZHOV/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFITWYZHOV.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIXVAKX9Q","in situ Hi-C, in situ Hi-C on GM12878 with DpnII and bio-dATP [4DNFIXVAKX9Q - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIXVAKX9Q/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIXVAKX9Q.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIEQUQVTZ","Capture Hi-C, N/A [4DNFIEQUQVTZ - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIEQUQVTZ/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIEQUQVTZ.mcool","HiCData"
